@timestamp;@log;@message;@ptr
"2023-08-21 18:44:20.869";"510769970275:pn-delivery-push-microsvc-prod-DeliveryProgressMicroservicePublicAPI-1JBW381Z2X314-PublicApiLogGroup-zfXrEJf6MZL1";"{"requestTime":"21/Aug/2023:18:44:20 +0000","requestId":"406d8665-533e-4a61-ae25-2380a3455d2d","httpMethod":"GET","path":"/delivery-progresses/streams/28f97a33-b2d6-4401-ad8c-24e828071162/events","resourcePath":"/streams/{streamId}/events","status":500,"responseLatency":3581,"xrayTraceId":"Root=1-64e3b084-18fdb4652b810ea8746fd69c","errorMessage":"-","validationError":"-","integrationRequestId":"-","functionResponseStatus":"-","integrationLatency":"-","integrationServiceStatus":"-","authorizeStatus":"-","authorizerStatus":"500","authorizerLatency":"3573","authorizerRequestId":"eb896be1-5db7-425d-a915-d75614d12442","ip":"20.74.27.116","userAgent":"Other","principalId":"-"}";"CsEBCoIBCn41MTA3Njk5NzAyNzU6cG4tZGVsaXZlcnktcHVzaC1taWNyb3N2Yy1wcm9kLURlbGl2ZXJ5UHJvZ3Jlc3NNaWNyb3NlcnZpY2VQdWJsaWNBUEktMUpCVzM4MVoyWDMxNC1QdWJsaWNBcGlMb2dHcm91cC16ZlhyRUpmNk1aTDEQAhI2GhgCBkLfoVMAAAAENIV/7wAGTjsD4AAAAzIgASiBoaLLoTEwkYypy6ExOBlA4YcBSKhDUPw4GAAgARAPGAE="
"2023-08-21 18:44:24.451";"510769970275:API-Gateway-Execution-Logs_n9sndt8vw2/unique";"(406d8665-533e-4a61-ae25-2380a3455d2d) X-ray Tracing ID : Root=1-64e3b084-18fdb4652b810ea8746fd69c";"CnwKPQo5NTEwNzY5OTcwMjc1OkFQSS1HYXRld2F5LUV4ZWN1dGlvbi1Mb2dzX245c25kdDh2dzIvdW5pcXVlEAUSNxoYAgZKGonlAAAAATohRoIABk47BSAAAAJSIAEo97Giy6ExMKnOqcuhMTijAkCwtAJIkTFQuC0YACABEH0YAQ=="
