CAP;RS_Recapitista;RS_Lotto;RS_Plico;RS_Foglio;RS_20;RS_dem;RS_21_50;RS_51_100;RS_101_250;RS_251_350;RS_351_1000 ;RS_1001_2000;AR_Recapitista;AR_Lotto;AR_Plico;AR_Foglio;AR_20;AR_dem;AR_21_50;AR_51_100;AR_101_250;AR_251_350;AR_351_1000;AR_1001_2000;890_Recapitista;890_Lotto;890_Plico;890_Foglio;890_20;890_dem;890_21_50;890_51_100;890_101_250;890_251_350;890_351_1000;890_1001_2000
89867;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89868;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89900;RTI Fulmine - Sol. Camp.;22;0,09;0,03;1,7;0,03;2,06;2,33;2,64;2,92;3,43;4,09;RTI Fulmine - Sol. Camp.;27;0,27;0,03;2,56;0,08;2,92;3,19;3,5;3,78;4,29;4,95;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
90010;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90011;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90012;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90013;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90014;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90015;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
90016;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;Poste ;19;0,27;0,03;7,24;0,13;8,11;8,11;8,78;8,78;9,65;9,65
