CAP;RS_Recapitista;RS_Lotto;RS_Plico;RS_Foglio;RS_20;RS_dem;RS_21_50;RS_51_100;RS_101_250;RS_251_350;RS_351_1000 ;RS_1001_2000;AR_Recapitista;AR_Lotto;AR_Plico;AR_Foglio;AR_20;AR_dem;AR_21_50;AR_51_100;AR_101_250;AR_251_350;AR_351_1000;AR_1001_2000;890_Recapitista;890_Lotto;890_Plico;890_Foglio;890_20;890_dem;890_21_50;890_51_100;890_101_250;890_251_350;890_351_1000;890_1001_2000
89817;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89818;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89819;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89821;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89822;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89823;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89824;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89831;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89832;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89833;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89834;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89841;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89842;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89843;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89844;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89851;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89852;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89853;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89861;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89862;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89863;FSU;97;0,09;0,03;2,7;0,02;3,35;3,7;4,08;4,39;5,07;5,88;FSU;98;0,27;0,03;3,77;0,07;4,42;4,77;5,15;5,46;6,14;6,95;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89864;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
89866;RTI Fulmine - Sol. Camp.;22;0,09;0,03;2,16;0,03;2,68;2,96;3,27;3,51;4,06;4,71;RTI Fulmine - Sol. Camp.;27;0,27;0,03;3,02;0,08;3,54;3,82;4,13;4,37;4,92;5,57;RTI Sailpost-Snem;18;0,27;0,03;7,5;0,15;8,3;8,3;9;9;9,91;9,91
