geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00048,RS,Poste,0,3,302,372,409,451,483,557,645
00049,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00049,AR,Poste,0,3,440,511,548,589,622,696,783
00049,RS,Poste,0,3,302,372,409,451,483,557,645
00051,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00051,AR,Poste,0,3,440,511,548,589,622,696,783
00051,RS,Poste,0,3,302,372,409,451,483,557,645
00052,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00052,AR,Poste,0,3,440,511,548,589,622,696,783
00052,RS,Poste,0,3,302,372,409,451,483,557,645
00053,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00053,AR,Poste,0,3,440,511,548,589,622,696,783
00053,RS,Poste,0,3,302,372,409,451,483,557,645
00054,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00054,AR,Poste,0,3,440,511,548,589,622,696,783
00054,RS,Poste,0,3,302,372,409,451,483,557,645
00055,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00055,AR,Poste,0,3,440,511,548,589,622,696,783
00055,RS,Poste,0,3,302,372,409,451,483,557,645
00058,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00058,AR,Poste,0,3,440,511,548,589,622,696,783
00058,RS,Poste,0,3,302,372,409,451,483,557,645
00059,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00059,AR,Poste,0,3,440,511,548,589,622,696,783
00059,RS,Poste,0,3,302,372,409,451,483,557,645
00060,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00060,AR,Poste,0,3,440,511,548,589,622,696,783
00060,RS,Poste,0,3,302,372,409,451,483,557,645
00061,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00061,AR,Poste,0,3,440,511,548,589,622,696,783
00061,RS,Poste,0,3,302,372,409,451,483,557,645
00062,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00062,AR,Poste,0,3,440,511,548,589,622,696,783
00062,RS,Poste,0,3,302,372,409,451,483,557,645
00063,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00063,AR,Poste,0,3,440,511,548,589,622,696,783
00063,RS,Poste,0,3,302,372,409,451,483,557,645
00065,890,Poste,0,3,800,958,958,1033,1033,1130,1130
00065,AR,Poste,0,3,440,511,548,589,622,696,783
