geo_key,product_type,recapitista,cons_costo_base,const_costo_foglio_agg,peso_max_20g,peso_max_50g,peso_max_100g,peso_max_250g,peso_max_350g,peso_max_1000g,peso_max_2000g
00010,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00010,AR,Poste,0,3,440,449,486,527,560,634,721
00010,RS,Poste,0,3,302,372,409,451,483,557,644
00012,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00012,AR,Poste,0,3,440,449,486,527,560,634,721
00012,RS,Poste,0,3,302,372,409,451,483,557,644
00013,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00013,AR,Poste,0,3,440,449,486,527,560,634,721
00013,RS,Poste,0,3,302,372,409,451,483,557,644
00015,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00015,AR,Poste,0,3,440,449,486,527,560,634,721
00015,RS,Poste,0,3,302,372,409,451,483,557,644
00017,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00017,AR,Poste,0,3,440,449,486,527,560,634,721
00017,RS,Poste,0,3,302,372,409,451,483,557,644
00018,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00018,AR,Poste,0,3,440,449,486,527,560,634,721
00018,RS,Poste,0,3,302,372,409,451,483,557,644
00019,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00019,AR,Poste,0,3,440,449,486,527,560,634,721
00019,RS,Poste,0,3,302,372,409,451,483,557,644
00020,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00020,AR,Poste,0,3,440,449,486,527,560,634,721
00020,RS,Poste,0,3,302,372,409,451,483,557,644
00021,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00021,AR,Poste,0,3,440,449,486,527,560,634,721
00021,RS,Poste,0,3,302,372,409,451,483,557,644
00022,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00022,AR,Poste,0,3,440,449,486,527,560,634,721
00022,RS,Poste,0,3,302,372,409,451,483,557,644
00023,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00023,AR,Poste,0,3,440,449,486,527,560,634,721
00023,RS,Poste,0,3,302,372,409,451,483,557,644
00024,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00024,AR,Poste,0,3,440,449,486,527,560,634,721
00024,RS,Poste,0,3,302,372,409,451,483,557,644
00025,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00025,AR,Poste,0,3,440,449,486,527,560,634,721
00025,RS,Poste,0,3,302,372,409,451,483,557,644
00026,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00026,AR,Poste,0,3,440,449,486,527,560,634,721
00026,RS,Poste,0,3,302,372,409,451,483,557,644
00027,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00027,AR,Poste,0,3,440,449,486,527,560,634,721
00027,RS,Poste,0,3,302,372,409,451,483,557,644
00028,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00028,AR,Poste,0,3,440,449,486,527,560,634,721
00028,RS,Poste,0,3,302,372,409,451,483,557,644
00029,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00029,AR,Poste,0,3,440,449,486,527,560,634,721
00029,RS,Poste,0,3,302,372,409,451,483,557,644
00030,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00030,AR,Poste,0,3,440,449,486,527,560,634,721
00030,RS,Poste,0,3,302,372,409,451,483,557,644
00031,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00031,AR,Poste,0,3,440,449,486,527,560,634,721
00031,RS,Poste,0,3,302,372,409,451,483,557,644
00032,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00032,AR,Poste,0,3,440,449,486,527,560,634,721
00032,RS,Poste,0,3,302,372,409,451,483,557,644
00033,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00033,AR,Poste,0,3,440,449,486,527,560,634,721
00033,RS,Poste,0,3,302,372,409,451,483,557,644
00034,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00034,AR,Poste,0,3,440,449,486,527,560,634,721
00034,RS,Poste,0,3,302,372,409,451,483,557,644
00035,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00035,AR,Poste,0,3,440,449,486,527,560,634,721
00035,RS,Poste,0,3,302,372,409,451,483,557,644
00036,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00036,AR,Poste,0,3,440,449,486,527,560,634,721
00036,RS,Poste,0,3,302,372,409,451,483,557,644
00037,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00037,AR,Poste,0,3,440,449,486,527,560,634,721
00037,RS,Poste,0,3,302,372,409,451,483,557,644
00038,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00038,AR,Poste,0,3,440,449,486,527,560,634,721
00038,RS,Poste,0,3,302,372,409,451,483,557,644
00039,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00039,AR,Poste,0,3,440,449,486,527,560,634,721
00039,RS,Poste,0,3,302,372,409,451,483,557,644
00040,890,Poste,0,3,800,957,957,1032,1032,1130,1130
00040,AR,Poste,0,3,440,449,486,527,560,634,721
00040,RS,Poste,0,3,302,372,409,451,483,557,644
