CAP,Regione,Provincia,RS,RS_AREA,RS_lotto,RS_Recapitista,DEF_RS_Costo_Foglio_aggiuntivo,DEF_RS_20gr,DEF_RS_21-50gr,DEF_RS_51-100gr,DEF_RS_101-250gr,DEF_RS_251-350gr,DEF_RS_351-1000gr,DEF_RS_1001-2000gr,AR,AR_AREA,AR_lotto,AR_Recapitista,DEF_AR_Costo_Foglio_aggiuntivo,DEF_AR_20gr,DEF_AR_21-50gr,DEF_AR_51-100gr,DEF_AR_101-250gr,DEF_AR_251-350gr,DEF_AR_351-1000gr,DEF_AR_1001-2000gr,890,890_lotto,890_Recapista,DEF_890_Costo_Foglio_aggiuntivo,DEF_890_20gr,DEF_890_21-50gr,DEF_890_51-100gr,DEF_890_101-250gr,DEF_890_251-350gr,DEF_890_351-1000gr,DEF_890_1001-2000gr,AR+Area,RS+Area,Grado Copertura
00026,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00027,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00028,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00029,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00030,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00031,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00032,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00033,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00034,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00035,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00036,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00037,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00038,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00039,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00040,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00041,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00042,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00043,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00044,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00045,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00046,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00047,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00048,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00049,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00051,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00052,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00053,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00054,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00055,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00058,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00059,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00060,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00061,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00062,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00063,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00065,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00066,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00067,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00068,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00069,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00071,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00072,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00073,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00074,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00075,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00076,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00077,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00078,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00079,Lazio,Roma,RS,EU,23,Poste ,"0,03 €","3,02 €","3,72 €","4,09 €","4,51 €","4,83 €","5,57 €","6,45 €",AR,EU,28,Poste ,"0,03 €","4,40 €","5,11 €","5,48 €","5,89 €","6,22 €","6,96 €","7,83 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28EU,23EU,Completo
00118,Lazio,Roma,RS,AM,23,Poste ,"0,03 €","2,14 €","2,61 €","2,98 €","3,40 €","3,72 €","4,46 €","5,33 €",AR,AM,28,Poste ,"0,03 €","3,52 €","3,99 €","4,36 €","4,78 €","5,10 €","5,84 €","6,72 €",890,9,Poste ,"0,03 €","8,00 €","9,58 €","9,58 €","10,33 €","10,33 €","11,30 €","11,30 €",28AM,23AM,Completo
